exp_name,task_type,hashed_id,joint_id_task,task_name,task_number,attempt_number,num_actions,solved,test_output_grid,first_written_solution,last_written_solution,complete,first_written_solution_word_count,last_written_solution_word_count,word_count_diff
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_27a77e38.json,27a77e38.json,1,3,24,true,|912849821|443127679|216978436|986342917|555555555|000000000|000000000|000000000|000090000|,I thought the rule was to follow the example by bringing down to bottom line the same blue box as in example output 3.,I solved this task by studying the example outputs and concluded that the color brought to the bottom position in examples had the maximum number of squares in input example.,true,24,30,6
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_27a77e38.json,27a77e38.json,1,2,18,false,|912849821|443127679|216978436|986342917|555555555|000000000|000000000|000000000|000040000|,I thought the rule was to follow the example by bringing down to bottom line the same blue box as in example output 3.,I solved this task by studying the example outputs and concluded that the color brought to the bottom position in examples had the maximum number of squares in input example.,true,24,30,6
expv6_2,evaluation,00136a0f6142ddb48fd80ea8ff22f12d,00136a0f6142ddb48fd80ea8ff22f12d_27a77e38.json,27a77e38.json,1,1,14,false,|912849821|443127679|216978436|986342917|555555555|000000000|000000000|000000000|000010000|,I thought the rule was to follow the example by bringing down to bottom line the same blue box as in example output 3.,I solved this task by studying the example outputs and concluded that the color brought to the bottom position in examples had the maximum number of squares in input example.,true,24,30,6
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_1caeab9d.json,1caeab9d.json,10,1,44,true,|0000000000|0000000000|0110440022|0110440022|1004000200|0000000000|0000000000|0000000000|0000000000|0000000000|,Leave the blue squares and move the other shapes so that they align with the blue squares using the same number of rows.,Leave the blue squares and move the other shapes so that they align with the blue squares using the same number of rows.,true,23,23,0
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_3af2c5a8.json,3af2c5a8.json,4,3,40,true,|40000004|00044000|44000044|44000044|00044000|40000004|,Each square becomes a cross with nothing in the middle.,Double the height and width of the grid used in the input. The original input goes in the top left 3x4 grid. Then mirror the pattern on the grid above and next to it. Mirror the top right grid to the bottom right grid,true,10,44,34
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_3af2c5a8.json,3af2c5a8.json,4,2,33,false,|40000004|00044000|44000044|44044044|00000000|40000004|,Each square becomes a cross with nothing in the middle.,Double the height and width of the grid used in the input. The original input goes in the top left 3x4 grid. Then mirror the pattern on the grid above and next to it. Mirror the top right grid to the bottom right grid,true,10,44,34
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_7c008303.json,7c008303.json,5,1,29,true,|000100|220101|020101|044700|040007|004000|,The green square pattern enclosed in the blue lines should be cropped. Then each 3x3 grid of what remains should be colored according to the input grid colored squares,The green square pattern enclosed in the blue lines should be cropped. Then each 3x3 grid of what remains should be colored according to the input grid colored squares,true,29,29,0
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_6e82a1ae.json,6e82a1ae.json,3,1,26,true,|0000000001|0000000001|0011022001|0110002001|0000000000|0000000000|2000000000|2003300300|2000000300|0000000000|,Shapes that are 4 squares become blue; shapes that are 3 squares become red; shapes that are two squares become green,Shapes that are 4 squares become blue; shapes that are 3 squares become red; shapes that are two squares become green,true,21,21,0
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_6c434453.json,6c434453.json,1,1,24,true,|0000000010|0000000111|0020000010|0222000000|0020000000|0000000000|0000001100|0020000000|0222000011|0020000011|,The squares were transformed into red crosses and other shapes stayed the same,The squares were transformed into red crosses and other shapes stayed the same,true,13,13,0
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_f9012d9b.json,f9012d9b.json,7,1,24,true,|188|881|818|,finish the pattern presented in the input,"create a grid the size of the black space in the input. Then, finish the pattern that would be created by the input within the black section of the grid.",true,7,30,23
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_1f876c06.json,1f876c06.json,9,1,24,true,|0000003009|7000030090|0700300900|0073009000|6007000000|0600700004|0060070040|0006007400|0000004000|0000040000|,connect same colored blocks diagonally.,connect same colored blocks diagonally.,true,5,5,0
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_1e0a9b12.json,1e0a9b12.json,2,1,21,true,|00000|00000|50000|52040|52643|,Each column should be condensed on into as few rows as possible starting at the bottom row,Each column should be condensed on into as few rows as possible starting at the bottom row. Think of it like tetris where everything falls to the bottom,true,17,28,11
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_99b1bc43.json,99b1bc43.json,8,2,21,true,|0330|0303|3033|3330|,"Overlay the grids with red and blue squares. If there is only one color in a square, color it green. If there is a black square or both colors, the square is black","Create a 4x4 grid. Overlay the grids with red and blue squares in the input. If there is only one color in a square, color it green. If there is a black square or both colors, the square is black",true,33,40,7
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_3af2c5a8.json,3af2c5a8.json,4,1,17,false,|40000000|04040000|44404000|44440000|44000000|00000000|,Each square becomes a cross with nothing in the middle.,Double the height and width of the grid used in the input. The original input goes in the top left 3x4 grid. Then mirror the pattern on the grid above and next to it. Mirror the top right grid to the bottom right grid,true,10,44,34
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_99b1bc43.json,99b1bc43.json,8,1,17,false,|3330|0303|3033|3330|,"Overlay the grids with red and blue squares. If there is only one color in a square, color it green. If there is a black square or both colors, the square is black","Create a 4x4 grid. Overlay the grids with red and blue squares in the input. If there is only one color in a square, color it green. If there is a black square or both colors, the square is black",true,33,40,7
expv0,training,0017a2904e34497d578228a0912f2367,0017a2904e34497d578228a0912f2367_1fad071e.json,1fad071e.json,6,1,12,true,|11100|,put a number of blue squares equal to the number of blue 2x2 squares in the input,"Create a 1x5 grid. Starting on the leftmost square, put a number of blue squares equal to the number of blue 2x2 squares in the input",true,17,26,9
expv3,training,0017a420937cae7aee1a2e30fef030b7,0017a420937cae7aee1a2e30fef030b7_ea32f347.json,ea32f347.json,1,3,41,false,|0000000000|0001000000|0001000000|0001000000|0000000000|0000222222|0000000000|0000000000|4444400000|0000000000|,I tried to compare the shapes in the example that seemd the closest to what was shown here. ,"I thought that it was the proper solution, but apparently not. I tried to compare what shapes and layout there was as well as the direction of those shapes with what color they had in the examples.",false,18,37,19
expv3,training,0017a420937cae7aee1a2e30fef030b7,0017a420937cae7aee1a2e30fef030b7_ea32f347.json,ea32f347.json,1,2,22,false,|0000000000|0004000000|0004000000|0004000000|0000000000|0000111111|0000000000|0000000000|2222200000|0000000000|,I tried to compare the shapes in the example that seemd the closest to what was shown here. ,"I thought that it was the proper solution, but apparently not. I tried to compare what shapes and layout there was as well as the direction of those shapes with what color they had in the examples.",false,18,37,19
expv3,training,0017a420937cae7aee1a2e30fef030b7,0017a420937cae7aee1a2e30fef030b7_ea32f347.json,ea32f347.json,1,1,21,false,|0000000000|0004000000|0004000000|0004000000|0000000000|0000111111|0000000000|0000000000|2222200000|0000000000|,I tried to compare the shapes in the example that seemd the closest to what was shown here. ,"I thought that it was the proper solution, but apparently not. I tried to compare what shapes and layout there was as well as the direction of those shapes with what color they had in the examples.",false,18,37,19
expv6_5,evaluation,0031cf4669cfd3df3ba65aa08f52b724,0031cf4669cfd3df3ba65aa08f52b724_bd14c3bf.json,bd14c3bf.json,2,3,254,false,|1111100000000000000|1010100022200001010|1111100020200001010|0000000022200001110|0000000000000001010|0111100000000000000|0000100000000000000|0000100222002222000|0111100202000002000|0000000222002222000|0000000202000000000|0000000222000000000|0000000000000000000|0000000011102222200|0222220010102000200|0202020010102222200|0202020011102000200|0222220000002222200|0000000000000000000|,Same color then opposite color in each row,I could not get the rule,false,8,6,-2
expv6_5,evaluation,0031cf4669cfd3df3ba65aa08f52b724,0031cf4669cfd3df3ba65aa08f52b724_bd14c3bf.json,bd14c3bf.json,2,2,222,false,|1111100000000000000|1010100022200001010|1111100020200001010|0000000022200001110|0000000000000001010|0111100000000000000|0000100000000000000|0000100222002222000|0111100202000002000|0000000222002222000|0000000202000000000|0000000222000000000|0000000000000000000|0000000022201111100|0222220020201000100|0202020020201111100|0202020022201000100|0222220000001111100|0000000000000000000|,Same color then opposite color in each row,I could not get the rule,false,8,6,-2
expv6_5,evaluation,0031cf4669cfd3df3ba65aa08f52b724,0031cf4669cfd3df3ba65aa08f52b724_1c56ad9f.json,1c56ad9f.json,3,3,166,false,|000000000000000|000777777777000|000070077007000|000007007700700|000077777777000|000000070070000|000077777070000|000000070077000|000070070077000|000000777777000|000000070077700|000070770070000|000070077000000|000007777770000|000000000000000|,The straight lines output was a 1 to 3 diagonal,I could not figure out the rule,false,10,7,-3
expv6_5,evaluation,0031cf4669cfd3df3ba65aa08f52b724,0031cf4669cfd3df3ba65aa08f52b724_1c56ad9f.json,1c56ad9f.json,3,2,155,false,|000000000000000|000777777777000|000070077000000|000007007700000|000077777770000|000000070070000|000077777070000|000000070070000|000070070070000|000000777770000|000000070077000|000070770070000|000070077000000|000007777770000|000000000000000|,The straight lines output was a 1 to 3 diagonal,I could not figure out the rule,false,10,7,-3
expv6_5,evaluation,0031cf4669cfd3df3ba65aa08f52b724,0031cf4669cfd3df3ba65aa08f52b724_bd14c3bf.json,bd14c3bf.json,2,1,147,false,|1111100000000000000|1010100022200001010|1111100020200001010|0000000022200001110|0000000000000001010|0222200000000000000|0000200000000000000|0000200111002222000|0222200101000002000|0000000111002222000|0000000101000000000|0000000111000000000|0000000000000000000|0000000022201111100|0111110020201000100|0101010020201111100|0101010022201000100|0111110000001111100|0000000000000000000|,Same color then opposite color in each row,I could not get the rule,false,8,6,-2
expv6_5,evaluation,0031cf4669cfd3df3ba65aa08f52b724,0031cf4669cfd3df3ba65aa08f52b724_bf89d739.json,bf89d739.json,1,2,87,true,|00000000000000000|00000000000000000|00000000000000000|00000020000000000|00000030000000000|00000030000000000|00002030000000000|00003030000000000|02333333333320000|00000000303000000|00000000302000000|00000000300000000|00000000200000000|00000000000000000|,Connect the red squares with green squares,Connect the two red squares in the 9th row with green squares then connect the other four red squares to the green horizontal squares,false,7,24,17
expv6_5,evaluation,0031cf4669cfd3df3ba65aa08f52b724,0031cf4669cfd3df3ba65aa08f52b724_1c56ad9f.json,1c56ad9f.json,3,1,87,false,|000000000000000|000077777770000|000700700700000|000070070070000|000007007007000|000070070070000|000707700700000|000070070070000|000007007007000|000070070070000|000707700700000|000070070070000|000007007707000|000077777770000|000000000000000|,The straight lines output was a 1 to 3 diagonal,I could not figure out the rule,false,10,7,-3
expv6_5,evaluation,0031cf4669cfd3df3ba65aa08f52b724,0031cf4669cfd3df3ba65aa08f52b724_bf89d739.json,bf89d739.json,1,1,58,false,|00000000000000000|00000000000000000|00000000000000000|00000020000000000|00000030000000000|00000030000000000|00002330000000000|00003000000000000|02333333333320000|00000000003000000|00000000002000000|00000000003000000|00000000233000000|00000000000000000|,Connect the red squares with green squares,Connect the two red squares in the 9th row with green squares then connect the other four red squares to the green horizontal squares,false,7,24,17
expv6_1,evaluation,005854090a9bf2c760be2d602774602d,005854090a9bf2c760be2d602774602d_2697da3f.json,2697da3f.json,3,1,123,true,|00000000400000000|00000044044000000|00000004040000000|00000040004000000|00000040404000000|00000044044000000|04044400000444040|04400400000400440|40004000000040004|04400400000400440|04044400000444040|00000044044000000|00000040404000000|00000040004000000|00000004040000000|00000044044000000|00000000400000000|,Mirror the original yellow square pattern in 4-way symmetry. Match the grid dimensions to fit.,Mirror the original yellow square pattern in 4-way symmetry. Match the grid dimensions to fit.,true,15,15,0
expv6_1,evaluation,005854090a9bf2c760be2d602774602d,005854090a9bf2c760be2d602774602d_08573cc6.json,08573cc6.json,1,3,89,false,|0000000000000|2222222222800|0000000000800|0022222280800|0080000080800|0080221080800|0080800080800|0080800080800|0080822220800|0080000000800|0082222222200|0000000000000|0000000000000|,"Build a counterclockwise spiral by alternating first the top left corner color with the second-from-the-left top row color, adding one square to each color bar until the final bar touches the edge of the grid. Return the toop left corner color squares to the background grid color (black).","Create a counterclockwise spiral, alternating the top left corner colored squares, beginning with the corner color, and adding a square to each solid color bar, until the final bar reaches the edge of the grid. Black out the intial two top left corner color squares.",true,48,45,-3
expv6_1,evaluation,005854090a9bf2c760be2d602774602d,005854090a9bf2c760be2d602774602d_08573cc6.json,08573cc6.json,1,2,85,false,|0000000000000|0222222222800|0000000000800|0022222280800|0080000080800|0080221080800|0080800080800|0080800080800|0080822220800|0080000000800|0082222222200|0000000000000|0000000000000|,"Build a counterclockwise spiral by alternating first the top left corner color with the second-from-the-left top row color, adding one square to each color bar until the final bar touches the edge of the grid. Return the toop left corner color squares to the background grid color (black).","Create a counterclockwise spiral, alternating the top left corner colored squares, beginning with the corner color, and adding a square to each solid color bar, until the final bar reaches the edge of the grid. Black out the intial two top left corner color squares.",true,48,45,-3
expv6_1,evaluation,005854090a9bf2c760be2d602774602d,005854090a9bf2c760be2d602774602d_08573cc6.json,08573cc6.json,1,1,82,false,|0000000000000|2222222222800|0000000000800|0022222280800|0080000080800|0080221080800|0080800080800|0080800080800|0080822220800|0080000000800|0082222222200|0000000000000|0000000000000|,"Build a counterclockwise spiral by alternating first the top left corner color with the second-from-the-left top row color, adding one square to each color bar until the final bar touches the edge of the grid. Return the toop left corner color squares to the background grid color (black).","Create a counterclockwise spiral, alternating the top left corner colored squares, beginning with the corner color, and adding a square to each solid color bar, until the final bar reaches the edge of the grid. Black out the intial two top left corner color squares.",true,48,45,-3
expv6_1,evaluation,005854090a9bf2c760be2d602774602d,005854090a9bf2c760be2d602774602d_f3cdc58f.json,f3cdc58f.json,2,1,62,true,|0000000000|0000000000|0030000000|0230000000|1230000000|1230000000|1234000000|1234000000|1234000000|1234000000|,"Reorganize the colored squares in stacks from the bottom of the grid up, from left to right, in the order blue, red, green, yellow.","Reorganize the colored squares in stacks from the bottom of the grid up, from left to right, in the order blue, red, green, yellow.",true,24,24,0
expv6_1,evaluation,005854090a9bf2c760be2d602774602d,005854090a9bf2c760be2d602774602d_423a55dc.json,423a55dc.json,5,3,38,false,|0000000000000|0000000000000|0000000000000|7777000000000|7000700000000|0770070000000|0007007700000|0000700070000|0000077777000|0000000000000|0000000000000|,"Keep the bottom row of colored cells in place as in the input. Translate each successive row of colored cells, moving up from the bottom row, one cell to the left.","Keep the bottom colored row in place. Move each successive row of colored cells, moving up the grid, one cell to the left.",true,31,23,-8
expv6_1,evaluation,005854090a9bf2c760be2d602774602d,005854090a9bf2c760be2d602774602d_423a55dc.json,423a55dc.json,5,2,34,false,|0000000000000|0000000000000|0000000000000|6777000000000|7000700000000|0770070000000|0007007700000|0000700070000|0000077777000|0000000000000|0000000000000|,"Keep the bottom row of colored cells in place as in the input. Translate each successive row of colored cells, moving up from the bottom row, one cell to the left.","Keep the bottom colored row in place. Move each successive row of colored cells, moving up the grid, one cell to the left.",true,31,23,-8
expv6_1,evaluation,005854090a9bf2c760be2d602774602d,005854090a9bf2c760be2d602774602d_423a55dc.json,423a55dc.json,5,1,31,false,|0000000000000|0000000000000|0000000000000|7777000000000|7000700000000|0770070000000|0007007700000|0000700070000|0000077777000|0000000000000|0000000000000|,"Keep the bottom row of colored cells in place as in the input. Translate each successive row of colored cells, moving up from the bottom row, one cell to the left.","Keep the bottom colored row in place. Move each successive row of colored cells, moving up the grid, one cell to the left.",true,31,23,-8
expv6_1,evaluation,005854090a9bf2c760be2d602774602d,005854090a9bf2c760be2d602774602d_ef26cbf6.json,ef26cbf6.json,4,1,22,true,|6004000|0604060|6604000|4444444|0024000|0224020|2004000|4444444|8804000|0804080|8884000|,Keep the single squares in the middle of 9x9 squares the same color. Transform the color of the assymetrical pattern to match the corresponding single square. Keep the yellow dividing squares as-is.,Keep the single squares in the middle of 9x9 squares the same color. Transform the color of the assymetrical pattern to match the corresponding single square. Keep the yellow dividing squares as-is.,true,32,32,0
expv6_1,evaluation,0076bd0033bf858d5aeffed92c3deff9,0076bd0033bf858d5aeffed92c3deff9_22a4bbc2.json,22a4bbc2.json,2,3,179,false,|8880|0111|0880|1111|8880|8880|0111|0880|0880|2222|2222|8888|1100|0888|1110|2222|0110|0110|8888|8888|0222|0222|,blue boxes that are opposites from each other numbers wise,blue and light blue boxes alternating with red squares every 2 blocks,false,10,12,2
expv6_1,evaluation,0076bd0033bf858d5aeffed92c3deff9,0076bd0033bf858d5aeffed92c3deff9_22a4bbc2.json,22a4bbc2.json,2,2,108,false,|2220|0111|0220|1111|2220|2220|0111|0220|0220|1111|1111|2222|1100|0222|1110|8888|0220|0220|8888|8888|0222|0222|,blue boxes that are opposites from each other numbers wise,blue and light blue boxes alternating with red squares every 2 blocks,false,10,12,2
expv6_1,evaluation,0076bd0033bf858d5aeffed92c3deff9,0076bd0033bf858d5aeffed92c3deff9_22a4bbc2.json,22a4bbc2.json,2,1,74,false,|8880|0111|0880|1111|8880|8880|0111|0880|0880|1111|1111|8888|1100|0888|1110|8888|0110|0110|8888|8888|0111|0111|,blue boxes that are opposites from each other numbers wise,blue and light blue boxes alternating with red squares every 2 blocks,false,10,12,2
expv6_1,evaluation,0076bd0033bf858d5aeffed92c3deff9,0076bd0033bf858d5aeffed92c3deff9_55059096.json,55059096.json,1,2,44,true,|0030000000000|0333000000000|0032000000000|0000200000000|0000020000000|0000002000000|0000000230000|0000000333000|0000000230000|0000002000000|0000320000000|0003330000000|0000300000000|0000000000300|0000000003330|0000000000300|0000000000000|,make four green medic symbols that have 5 green clicks,green crosses connected diagonally when the corner is a straight line to another,false,10,13,3
expv6_1,evaluation,0076bd0033bf858d5aeffed92c3deff9,0076bd0033bf858d5aeffed92c3deff9_55059096.json,55059096.json,1,1,30,false,|0030000000000|0333000000000|0030000000000|0000000000000|0000000000000|0000000000000|0000000030000|0000000333000|0000000030000|0000000000000|0000300000000|0003330000000|0000300000000|0000000000300|0000000003330|0000000000300|0000000000000|,make four green medic symbols that have 5 green clicks,green crosses connected diagonally when the corner is a straight line to another,false,10,13,3
expv6_2,evaluation,0091198689f23fa8719bcf996801e8c7,0091198689f23fa8719bcf996801e8c7_93b4f4b3.json,93b4f4b3.json,5,1,116,true,|88888|83338|88388|83338|88888|82228|88828|88828|88888|84848|84848|84448|88888|88778|87778|87788|88888|,"The way I conceptualized this rule is as follows:

1.) Keep the left side of the test input.  (the left side begins with colored boxes and ends where the right side begins with black boxes).

2.) Change the black boxes of the test input into the colors of the corresponding shapes on the right side of the test input.

","The way I conceptualized this rule is as follows:

1.) Keep the left side of the test input.  (the left side begins with colored boxes and ends where the right side begins with black boxes).

2.) Change the black boxes of the test input into the colors of the corresponding shapes on the right side of the test input.

",true,59,59,0
expv6_2,evaluation,0091198689f23fa8719bcf996801e8c7,0091198689f23fa8719bcf996801e8c7_baf41dbf.json,baf41dbf.json,4,1,78,true,|00000000000000000|00000000000000000|00333333333330000|00300000000030000|06300000000030000|00333333333330000|00300000000030000|00300000000030000|00300000000030000|00300000000030000|00300000000030000|00333333333336000|00000060000000000|00000000000000000|00000000000000000|00000000000000000|,"The rule is to increase the green objects size to line up against the pink squares. In a way, the pink squares function as markers for making the the green object larger.","The rule is to increase the green objects size to line up against the pink squares. In a way, the pink squares function as markers for making the the green object larger.",true,32,32,0
expv6_2,evaluation,0091198689f23fa8719bcf996801e8c7,0091198689f23fa8719bcf996801e8c7_dc2e9a9d.json,dc2e9a9d.json,2,1,71,true,|00000000000000000000000300000|00000000000000000000003330000|00000000000000000000003030000|00000000000000000000003330000|00033333301111110000000000000|00030000301000010000008880000|00330000301000011000008080000|00030000301000010000008880000|00033333301111110000000800000|00000000000000000000000000000|00000000000000000000000000000|00000000000001111033330000000|00000000000001001030030000000|00000000000011001030033000000|00000000000001001030030000000|00000000000001111033330000000|00000008000000000000000000000|00000888880000000000000000000|00000800080000000000000000000|00000800080000000000000000000|00000888880000000000000000000|00000000000000000000000000000|00000333330000000000000000000|00000300030000000000000000000|00000300030000000000000000000|00000333330000000000000000000|00000003000000000000000000000|00000000000000000000000000000|,"This pattern requires creating a mirrored version of the green objects. If the green objects point north or south then the mirrored objects are light blue. 

If the mirrored objects point east or west then they are blue.","This pattern requires creating a mirrored version of the green objects. If the green objects point north or south then the mirrored objects are light blue. 

If the mirrored objects point east or west then they are blue.",true,38,38,0
expv6_2,evaluation,0091198689f23fa8719bcf996801e8c7,0091198689f23fa8719bcf996801e8c7_f83cb3f6.json,f83cb3f6.json,3,1,27,true,|000000083000000|000000080000000|000000083000000|000000000000000|000000000000000|000000383000000|000000080000000|000000380000000|000000000000000|000000083000000|,"If a blue box is in the same row as a free box then you move the free box (in the case, a green box) to be immediately adjacent to a blue box.","If a blue box is in the same row as a free box then you move the free box (in the case, a green box) to be immediately adjacent to a blue box.",true,33,33,0
expv6_2,evaluation,0091198689f23fa8719bcf996801e8c7,0091198689f23fa8719bcf996801e8c7_94414823.json,94414823.json,1,1,22,true,|0000000000|0000000000|0055555500|0051199500|0051199500|0059911500|0059911500|0055555500|0900000010|0000000000|,The rule is to match the colors diagonally with the the corresponding color box on the outside of the grey square.,The rule is to match the colors diagonally with the the corresponding color box on the outside of the grey square.,true,21,21,0
